[2022-12-24 00:57:44,339:INFO:mainLog:Thread-8 (ulusoyScraper)] Categories found count: 8
[2022-12-24 00:57:44,384:INFO:mainLog:Thread-7 (ulusoyScraper)] Categories found count: 8
[2022-12-24 00:57:45,343:INFO:mainLog:Thread-8 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 00:57:45,363:INFO:mainLog:Thread-7 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 00:57:45,583:INFO:mainLog:Thread-7 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 00:57:45,649:INFO:mainLog:Thread-8 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:02:49,908:INFO:mainLog:MainThread] New ULUSOYSPOR session has been started
[2022-12-24 01:02:49,927:INFO:mainLog:MainThread] Tasks executed in {elapsed:0.2f} seconds.
[2022-12-24 01:02:50,825:INFO:mainLog:Thread-8 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:02:51,076:INFO:mainLog:Thread-8 (ulusoyScraper)] Categories found count: 8
[2022-12-24 01:02:51,393:INFO:mainLog:Thread-7 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:02:51,608:INFO:mainLog:Thread-7 (ulusoyScraper)] Categories found count: 8
[2022-12-24 01:02:52,161:INFO:mainLog:Thread-8 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:02:52,371:INFO:mainLog:Thread-7 (ulusoyScraper)] Category being processed: Bijouterie
[2022-12-24 01:02:52,392:INFO:mainLog:Thread-8 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:02:52,602:INFO:mainLog:Thread-7 (ulusoyScraper)] Retrieving products list size please wait!
[2022-12-24 01:10:04,655:INFO:mainLog:MainThread] New ULUSOYSPOR session has been started
[2022-12-24 01:10:04,675:INFO:mainLog:MainThread] Tasks executed in {elapsed:0.2f} seconds.
[2022-12-24 01:10:05,484:INFO:mainLog:Thread-7 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:10:05,660:INFO:mainLog:Thread-8 (ulusoyScraper)] New page request has been made | Response: 200
[2022-12-24 01:10:05,745:INFO:mainLog:Thread-7 (ulusoyScraper)] Categories found count: 8
[2022-12-24 01:10:05,979:INFO:mainLog:Thread-8 (ulusoyScraper)] Categories found count: 8
